token	documents
physique	->	(['67068', '67798', '67943', '68280', '68638', '68883', '69178', '69180', '69540', '70167', '70422', '70424', '70914', '72934', '73186', '73188', '73688', '74168', '74170', '74745', '75070', '75791', '75794'], 23)
mathias	->	(['67068'], 1)
fink	->	(['67068'], 1)
un	->	(['67068', '67071', '67383', '67385', '67386', '67387', '67388', '67389', '67390', '67391', '67553', '67554', '67555', '67556', '67557', '67558', '67561', '67794', '67795', '67796', '67797', '67798', '67799', '67800', '67801', '67802', '67804', '67937', '67938', '67939', '67940', '67941', '67942', '67943', '67944', '68273', '68274', '68275', '68276', '68277', '68278', '68279', '68280', '68281', '68283', '68383', '68384', '68385', '68386', '68387', '68388', '68389', '68390', '68391', '68393', '68638', '68639', '68640', '68641', '68642', '68643', '68644', '68645', '68646', '68881', '68882', '68883', '68884', '68885', '68886', '68887', '68888', '68889', '69177', '69178', '69179', '69181', '69182', '69183', '69184', '69185', '69186', '69533', '69534', '69535', '69536', '69537', '69538', '69539', '69540', '69541', '69542', '69543', '69811', '69812', '69813', '69814', '69815', '69816', '69817', '69818', '69819', '69820', '69821', '70161', '70162', '70163', '70164', '70165', '70166', '70167', '70168', '70420', '70421', '70422', '70423', '70424', '70425', '70426', '70429', '70743', '70744', '70745', '70746', '70747', '70749', '70753', '70914', '70915', '70916', '70917', '70918', '70919', '70920', '70921', '70922', '70923', '71357', '71358', '71359', '71360', '71361', '71362', '71363', '71366', '71612', '71614', '71615', '71616', '71617', '71618', '71621', '71835', '71836', '71837', '71838', '71839', '71840', '71841', '71842', '71843', '71845', '72113', '72114', '72115', '72116', '72117', '72118', '72119', '72120', '72121', '72392', '72393', '72394', '72395', '72396', '72397', '72398', '72399', '72400', '72401', '72629', '72630', '72631', '72632', '72633', '72634', '72635', '72636', '72637', '72932', '72933', '72934', '72935', '72936', '72937', '72938', '72939', '72940', '73182', '73183', '73184', '73185', '73186', '73187', '73188', '73189', '73190', '73430', '73431', '73432', '73433', '73434', '73435', '73436', '73437', '73683', '73684', '73685', '73686', '73687', '73688', '73689', '73690', '73875', '73876', '73877', '73878', '73879', '73880', '73881', '73882', '73884', '74167', '74168', '74169', '74170', '74171', '74172', '74173', '74174', '74176', '74449', '74450', '74451', '74452', '74453', '74454', '74455', '74457', '74744', '74745', '74746', '74747', '74748', '74749', '74750', '74751', '74752', '75063', '75064', '75065', '75066', '75067', '75068', '75069', '75070', '75071', '75457', '75458', '75459', '75460', '75461', '75462', '75463', '75464', '75465', '75788', '75789', '75790', '75791', '75792', '75793', '75794', '75795', '75797', '76206', '76207', '76208', '76209', '76210', '76211', '76212', '76213', '76507', '76508', '76509', '76510', '76511', '76512', '76513', '76514'], 302)
bel	->	(['67068', '69535', '70161', '71621', '72630', '72933', '75792'], 7)
exemple	->	(['67068', '67383', '67385', '67386', '67387', '67554', '67558', '67794', '67795', '67798', '68273', '68275', '68387', '68639', '68643', '68881', '68886', '69177', '69181', '69535', '69537', '69811', '69815', '69816', '69817', '70165', '70166', '70420', '70421', '70745', '70751', '70915', '70919', '70921', '71357', '71359', '71614', '71621', '71836', '72115', '72116', '72392', '72393', '72629', '72630', '72632', '72636', '72932', '72933', '73185', '73430', '73431', '73685', '73876', '73877', '74167', '74170', '74449', '74450', '74452', '74744', '74745', '74752', '75462', '75788', '75790', '75792', '76511'], 68)
de	->	(['67068', '67071', '67383', '67385', '67386', '67387', '67388', '67389', '67390', '67391', '67392', '67553', '67554', '67555', '67556', '67557', '67558', '67561', '67794', '67795', '67796', '67797', '67798', '67799', '67800', '67801', '67802', '67803', '67804', '67937', '67938', '67939', '67940', '67941', '67942', '67943', '67944', '67945', '67946', '68273', '68274', '68275', '68276', '68277', '68278', '68279', '68280', '68281', '68283', '68383', '68384', '68385', '68386', '68387', '68388', '68389', '68390', '68391', '68392', '68393', '68638', '68639', '68640', '68641', '68642', '68643', '68644', '68645', '68646', '68881', '68882', '68883', '68884', '68885', '68886', '68887', '68888', '68889', '69177', '69178', '69179', '69180', '69181', '69182', '69183', '69184', '69185', '69186', '69533', '69534', '69535', '69536', '69537', '69538', '69539', '69540', '69541', '69542', '69543', '69811', '69812', '69813', '69814', '69815', '69816', '69817', '69818', '69819', '69820', '69821', '70161', '70162', '70163', '70164', '70165', '70166', '70167', '70168', '70169', '70170', '70420', '70421', '70422', '70423', '70424', '70425', '70426', '70428', '70429', '70743', '70744', '70745', '70746', '70747', '70748', '70749', '70751', '70752', '70753', '70914', '70915', '70916', '70917', '70918', '70919', '70920', '70921', '70922', '70923', '71357', '71358', '71359', '71360', '71361', '71362', '71363', '71366', '71612', '71614', '71615', '71616', '71617', '71618', '71619', '71620', '71621', '71835', '71836', '71837', '71838', '71839', '71840', '71841', '71842', '71843', '71845', '72113', '72114', '72115', '72116', '72117', '72118', '72119', '72120', '72121', '72122', '72392', '72393', '72394', '72395', '72396', '72397', '72398', '72399', '72400', '72401', '72629', '72630', '72631', '72632', '72633', '72634', '72635', '72636', '72637', '72932', '72933', '72934', '72935', '72936', '72937', '72938', '72939', '72940', '73182', '73183', '73184', '73185', '73186', '73187', '73188', '73189', '73190', '73430', '73431', '73432', '73433', '73434', '73435', '73436', '73437', '73438', '73683', '73684', '73685', '73686', '73687', '73688', '73689', '73690', '73691', '73875', '73876', '73877', '73878', '73879', '73880', '73881', '73882', '73883', '73884', '74167', '74168', '74169', '74170', '74171', '74172', '74173', '74174', '74175', '74176', '74449', '74450', '74451', '74452', '74453', '74454', '74455', '74456', '74457', '74744', '74745', '74746', '74747', '74748', '74749', '74750', '74751', '74752', '75063', '75064', '75065', '75066', '75067', '75068', '75069', '75070', '75071', '75457', '75458', '75459', '75460', '75461', '75462', '75463', '75464', '75465', '75466', '75788', '75789', '75790', '75791', '75792', '75793', '75794', '75795', '75796', '75797', '76206', '76207', '76208', '76209', '76210', '76211', '76212', '76213', '76507', '76508', '76509', '76510', '76511', '76512', '76513', '76514', '76515', '76516'], 326)
chercheur	->	(['67068', '67383', '67389', '67937', '67938', '67939', '68276', '68280', '68390', '68641', '68643', '68882', '69533', '69812', '69817', '70421', '70426', '70744', '70914', '71835', '71837', '72115', '72394', '72630', '72631', '72932', '73184', '73432', '73434', '73435', '74168', '74449', '74752', '75458', '75459', '75462', '75788', '75790', '75792', '76206'], 40)
qui	->	(['67068', '67071', '67383', '67385', '67386', '67387', '67388', '67389', '67390', '67391', '67553', '67554', '67555', '67556', '67557', '67558', '67561', '67794', '67795', '67797', '67798', '67799', '67800', '67801', '67802', '67804', '67937', '67938', '67939', '67940', '67941', '67942', '67943', '67944', '67945', '68273', '68274', '68275', '68276', '68277', '68279', '68280', '68281', '68283', '68383', '68384', '68385', '68386', '68387', '68388', '68389', '68390', '68391', '68392', '68393', '68638', '68640', '68641', '68642', '68643', '68644', '68645', '68646', '68881', '68882', '68883', '68884', '68885', '68886', '68887', '69177', '69178', '69179', '69182', '69183', '69184', '69185', '69186', '69533', '69534', '69535', '69536', '69537', '69538', '69539', '69540', '69541', '69542', '69811', '69812', '69813', '69814', '69815', '69816', '69817', '69818', '69819', '69820', '69821', '70161', '70162', '70163', '70164', '70165', '70166', '70167', '70168', '70169', '70170', '70420', '70421', '70422', '70423', '70424', '70425', '70426', '70429', '70743', '70744', '70745', '70746', '70747', '70749', '70751', '70753', '70914', '70915', '70916', '70917', '70918', '70919', '70920', '70921', '70923', '71357', '71358', '71359', '71360', '71361', '71362', '71363', '71366', '71612', '71614', '71615', '71616', '71617', '71618', '71619', '71620', '71621', '71835', '71836', '71837', '71838', '71839', '71840', '71841', '71842', '71843', '72113', '72114', '72115', '72116', '72118', '72119', '72120', '72121', '72392', '72393', '72394', '72395', '72396', '72397', '72398', '72399', '72401', '72629', '72630', '72631', '72632', '72633', '72634', '72635', '72636', '72637', '72932', '72933', '72934', '72935', '72937', '72938', '72939', '72940', '73182', '73183', '73184', '73185', '73186', '73188', '73189', '73430', '73431', '73432', '73433', '73434', '73435', '73436', '73437', '73438', '73683', '73684', '73685', '73686', '73687', '73688', '73689', '73691', '73875', '73876', '73877', '73878', '73879', '73880', '73882', '73884', '74167', '74168', '74169', '74170', '74171', '74172', '74173', '74175', '74176', '74449', '74450', '74451', '74452', '74453', '74454', '74455', '74456', '74457', '74744', '74745', '74746', '74747', '74748', '74749', '74750', '74752', '75063', '75064', '75065', '75066', '75067', '75068', '75069', '75070', '75071', '75457', '75458', '75459', '75460', '75461', '75462', '75463', '75464', '75466', '75788', '75789', '75790', '75791', '75792', '75793', '75794', '75795', '75796', '75797', '76206', '76207', '76208', '76209', '76210', '76211', '76212', '76213', '76507', '76508', '76509', '76510', '76511', '76512', '76513'], 295)
innove	->	(['67068', '68383', '74455', '75457'], 4)
